name,ingredients,quantities,category
Focaccia (fügassa) alla genovese,Farina 00,(W=280)400g,Antipasti
Focaccia (fügassa) alla genovese,Farina Manitoba,(W=400)250g,Antipasti
Focaccia (fügassa) alla genovese,Acqua,(a temperatura ambiente)335g,Antipasti
Focaccia (fügassa) alla genovese,Sale fino,13g,Antipasti
Focaccia (fügassa) alla genovese,Malto,10g,Antipasti
Focaccia (fügassa) alla genovese,Lievito di birra fresco,18g,Antipasti
Focaccia (fügassa) alla genovese,Olio extravergine d'oliva,30g,Antipasti
Focaccia (fügassa) alla genovese,Olio extravergine d'oliva,30g,Antipasti
Focaccia (fügassa) alla genovese,Olio extravergine d'oliva,60g,Antipasti
Focaccia (fügassa) alla genovese,Sale,10g,Antipasti
Focaccia (fügassa) alla genovese,Acqua,200g,Antipasti
Arancini di riso,Zafferano,1bustina,Antipasti
Arancini di riso,Burro,30g,Antipasti
Arancini di riso,Riso vialone nano,500g,Antipasti
Arancini di riso,Sale fino,1pizzico,Antipasti
Arancini di riso,Acqua,"1,2l",Antipasti
Arancini di riso,Caciocavallo,stagionato da grattugiare100g,Antipasti
Arancini di riso,Sale fino,q.b.,Antipasti
Arancini di riso,Pepe nero,q.b.,Antipasti
Arancini di riso,Cipolle,½,Antipasti
Arancini di riso,Burro,25g,Antipasti
Arancini di riso,Maiale,macinato100g,Antipasti
Arancini di riso,Olio extravergine d'oliva,q.b.,Antipasti
Arancini di riso,Passata di pomodoro,200ml,Antipasti
Arancini di riso,Pisellini,80g,Antipasti
Arancini di riso,Caciocavallo,fresco50g,Antipasti
Arancini di riso,Vino rosso,50ml,Antipasti
Arancini di riso,Prosciutto cotto,in una sola fetta30g,Antipasti
Arancini di riso,Mozzarella,60g,Antipasti
Arancini di riso,Farina 00,200g,Antipasti
Arancini di riso,Sale fino,1pizzico,Antipasti
Arancini di riso,Acqua,300ml,Antipasti
Arancini di riso,Pangrattato,q.b.,Antipasti
Arancini di riso,Olio di semi,q.b.,Antipasti
Ravioli cinesi al vapore,Farina 00,250g,Antipasti
Ravioli cinesi al vapore,Acqua,(tiepida)115g,Antipasti
Ravioli cinesi al vapore,Sale fino,1pizzico,Antipasti
Ravioli cinesi al vapore,Maiale,macinato250g,Antipasti
Ravioli cinesi al vapore,Cavolo cappuccio,(varietà cuore di bue)80g,Antipasti
Ravioli cinesi al vapore,Cipollotto fresco,30g,Antipasti
Ravioli cinesi al vapore,Acqua, 40g,Antipasti
Ravioli cinesi al vapore,Vino di riso,10g,Antipasti
Ravioli cinesi al vapore,Salsa di soia,(chiara)2cucchiaini,Antipasti
Ravioli cinesi al vapore,Sale fino,q.b.,Antipasti
Ravioli cinesi al vapore,Pepe bianco,(o nero)q.b.,Antipasti
Ravioli cinesi al vapore,Cavolo cappuccio,1foglia,Antipasti
Guacamole,Avocado,(2)500g,Antipasti
Guacamole,Cipolle bianche,(mezza)35g,Antipasti
Guacamole,Succo di lime,35g,Antipasti
Guacamole,Coriandolo,q.b.,Antipasti
Guacamole,Pomodori ramati,1,Antipasti
Guacamole,Sale fino,1pizzico,Antipasti
Involtini primavera,Sfoglie per involtini,"(da 21,5 x 21,5 cm)8fogli",Antipasti
Involtini primavera,Cavolo cappuccio,"qualità ""cuore di bue"")300g",Antipasti
Involtini primavera,Carote,60g,Antipasti
Involtini primavera,Cipolle bianche,50g,Antipasti
Involtini primavera,Vino di riso,30g,Antipasti
Involtini primavera,Olio di semi di arachide, q.b.,Antipasti
Involtini primavera,Sale fino,q.b.,Antipasti
Involtini primavera,Pepe bianco,(o nero)q.b.,Antipasti
Involtini primavera,Albumi,q.b.,Antipasti
Involtini primavera,Olio di semi di arachide, (o di girasole)q.b.,Antipasti
Polpettine di tonno e ricotta,Tonno sott'olio,sgocciolato230g,Antipasti
Polpettine di tonno e ricotta,Ricotta vaccina,200g,Antipasti
Polpettine di tonno e ricotta,Acciughe (alici), filetti sott'olio 20g,Antipasti
Polpettine di tonno e ricotta,Capperi sotto sale,20g,Antipasti
Polpettine di tonno e ricotta,Pangrattato,50g,Antipasti
Polpettine di tonno e ricotta,Prezzemolo,da tritare8g,Antipasti
Polpettine di tonno e ricotta,Uova,medie 2,Antipasti
Polpettine di tonno e ricotta,Parmigiano Reggiano DOP,50g,Antipasti
Polpettine di tonno e ricotta,Sale fino,q.b.,Antipasti
Polpettine di tonno e ricotta,Pepe nero,q.b.,Antipasti
Polpettine di tonno e ricotta,Pangrattato,40g,Antipasti
Polpettine di tonno e ricotta,Olio di semi di arachide,q.b.,Antipasti
Polpette di melanzane,Melanzane,800g,Antipasti
Polpette di melanzane,Pangrattato,120g,Antipasti
Polpette di melanzane,Parmigiano Reggiano DOP,grattugiato120g,Antipasti
Polpette di melanzane,Uova,medie1,Antipasti
Polpette di melanzane,Aglio,1spicchio,Antipasti
Polpette di melanzane,Pepe nero,q.b.,Antipasti
Polpette di melanzane,Sale fino,q.b.,Antipasti
Polpette di melanzane,Prezzemolo,q.b.,Antipasti
Polpette di melanzane,Olio di semi,per friggereq.b.,Antipasti
Hummus,Ceci precotti,600g,Antipasti
Hummus,Semi di sesamo,100g,Antipasti
Hummus,Acqua,calda150g,Antipasti
Hummus,Succo di limone,½,Antipasti
Hummus,Olio di sesamo,30g,Antipasti
Hummus,Paprika,1cucchiaino,Antipasti
Hummus,Aglio,1spicchio,Antipasti
Hummus,Sale fino,q.b.,Antipasti
Hummus,Pepe nero,q.b.,Antipasti
Hummus,Prezzemolo,1ciuffo,Antipasti
Polpette di zucca,Zucca,violina (già pulita)500g,Antipasti
Polpette di zucca,Pangrattato,100g,Antipasti
